epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2.76836,0.99319,4.06737,0.00894,0.02286,1,0.57064,0.45671,0.666,4.39608,0.0071,0.000392157,0.000392157,0.000392157
2,5.85204,0.94957,3.31703,0.00807,0.02598,1,0.68778,0.5293,0.85842,4.26503,0.00915,0.000800816,0.000800816,0.000800816
3,8.18643,1.0228,2.67603,0.00892,0.94816,0.62581,0.995,0.73325,0.81472,3.6569,0.00903,0.00120123,0.00120123,0.00120123
4,11.335,1.03792,2.36572,0.00892,0.7719,0.93594,0.995,0.75294,0.91445,3.4161,0.00993,0.00121287,0.00121287,0.00121287
5,15.2469,0.98716,2.14155,0.00859,0.8011,0.99729,0.995,0.74178,0.95986,2.97965,0.01061,0.0012005,0.0012005,0.0012005
6,18.8651,1.0206,2.02247,0.00866,0.8938,1,0.995,0.72779,1.05212,2.53276,0.01217,0.00118812,0.00118812,0.00118812
7,22.5036,0.96913,1.86678,0.00817,0.97706,0.99737,0.995,0.78949,0.85895,2.1239,0.00944,0.00117575,0.00117575,0.00117575
8,26.2167,0.95296,1.7207,0.00776,0.97457,0.99852,0.995,0.73032,1.08542,1.82083,0.01119,0.00116337,0.00116337,0.00116337
9,29.7684,0.93877,1.64619,0.0081,0.95361,0.88889,0.9675,0.79138,0.85004,1.66257,0.00926,0.001151,0.001151,0.001151
10,33.3355,0.91682,1.47627,0.00742,0.86569,0.99827,0.9675,0.72967,0.98823,1.51776,0.01063,0.00113863,0.00113863,0.00113863
11,36.9374,0.90557,1.39882,0.00756,0.87143,1,0.9675,0.7739,0.92429,1.30217,0.01044,0.00112625,0.00112625,0.00112625
12,40.6569,0.92683,1.32394,0.00776,0.86587,1,0.9675,0.75296,0.97186,1.38389,0.01074,0.00111388,0.00111388,0.00111388
13,44.2529,0.94572,1.28075,0.00811,0.87937,1,0.9675,0.72502,0.95235,1.20874,0.01043,0.0011015,0.0011015,0.0011015
14,47.8556,0.92932,1.27844,0.00834,0.8635,1,0.94,0.74616,0.7965,1.27361,0.00833,0.00108913,0.00108913,0.00108913
15,51.4727,0.90999,1.16639,0.00805,0.87779,1,0.9675,0.77668,0.93178,1.13069,0.00976,0.00107675,0.00107675,0.00107675
16,55.0509,0.94172,1.15024,0.00806,0.87083,1,0.94,0.76153,0.88446,1.12101,0.00986,0.00106437,0.00106437,0.00106437
17,58.6159,0.91367,1.09261,0.00758,0.83235,0.99814,0.91208,0.70301,0.92871,1.17817,0.01032,0.001052,0.001052,0.001052
18,62.2418,0.88091,1.0424,0.00736,0.85855,1,0.94,0.73208,0.85872,1.12242,0.00929,0.00103962,0.00103962,0.00103962
19,65.7268,0.90616,0.99324,0.00768,0.87972,1,0.94,0.74406,0.802,1.04031,0.00886,0.00102725,0.00102725,0.00102725
20,69.3008,0.88831,1.01186,0.00795,0.85335,0.99284,0.94,0.75691,0.80332,0.89335,0.00886,0.00101488,0.00101488,0.00101488
21,72.7778,0.84192,0.97564,0.00697,0.88325,1,0.94,0.73449,0.79085,0.94274,0.00888,0.0010025,0.0010025,0.0010025
22,76.3656,0.82082,0.92538,0.00693,0.96185,1,0.995,0.80983,0.79046,0.83682,0.00898,0.000990125,0.000990125,0.000990125
23,79.1393,0.84294,0.97437,0.00696,0.96444,1,0.995,0.82208,0.86094,0.77743,0.00941,0.00097775,0.00097775,0.00097775
24,82.8391,0.84516,0.90534,0.00736,0.96694,0.98579,0.995,0.81508,0.7513,0.79085,0.00858,0.000965375,0.000965375,0.000965375
25,86.7024,0.82901,0.85613,0.00675,0.97346,1,0.995,0.85686,0.74789,0.69556,0.0084,0.000953,0.000953,0.000953
26,90.2103,0.81216,0.82094,0.00684,0.98823,0.99199,0.995,0.84417,0.81436,0.69067,0.00892,0.000940625,0.000940625,0.000940625
